factset_id,yearquart,tobinsq,tobinsq_std
000BG2-E,20152,1.6559367,-0.1073587
000BG2-E,20153,1.436682,-0.20989892
000BG2-E,20154,1.6241943,-0.12220389
000BG2-E,20161,1.5547501,-0.15468128
000BG2-E,20162,1.4502974,-0.20353132
000BG2-E,20163,1.5739499,-0.14570196
000BG2-E,20164,1.0737748,-0.37962195
000BG2-E,20171,1.0825748,-0.3755064
000BG2-E,20172,1.1855277,-0.3273578
000BG2-E,20173,1.2832185,-0.28167012
000BG2-E,20174,1.3027682,-0.27252719
000BG2-E,20181,1.4757197,-0.19164191
000BG2-E,20182,1.5629163,-0.15086214
000BG2-E,20183,1.7965138,-0.041614149
000BG2-E,20184,1.89117,0.002654314
000BG2-E,20191,2.076797,0.08946763
000BG2-E,20192,2.1682618,0.13224351
000BG2-E,20193,2.1575768,0.12724641
000BG2-E,20194,2.2627022,0.17641108
000BG2-E,20201,2.0838389,0.092760973
000BG2-E,20202,2.3514822,0.21793133
000BG2-E,20203,2.790823,0.42340058
000BG2-E,20204,2.5858774,0.32755241
000BG2-E,20211,2.916811,0.48232216
000BG2-E,20212,2.8113768,0.43301311
000BG2-E,20213,2.8379011,0.44541788
000BG2-E,20214,3.2098067,0.61934924
000BG2-E,20221,2.8203516,0.43721041
000BJT-E,20152,3.6106462,0.80681241
000BJT-E,20153,3.5635967,0.78480846
000BJT-E,20154,3.9958491,0.98696262
000BJT-E,20161,3.943928,0.96268034
000BJT-E,20162,3.9070256,0.94542193
000BJT-E,20163,4.3638248,1.1590561
000BJT-E,20164,4.00911,0.99316436
000BJT-E,20171,4.934927,1.426147
000BJT-E,20172,5.2216849,1.5602568
000BJT-E,20173,5.2878566,1.5912037
000BJT-E,20174,5.9226084,1.888062
000BJT-E,20181,7.1067619,2.4418623
000BJT-E,20182,7.873209,2.8003113
000BJT-E,20183,8.5590343,3.1210556
000BJT-E,20184,5.8840213,1.8700157
000BJT-E,20191,6.6665201,2.2359717
000BJT-E,20192,7.2732224,2.519712
000BJT-E,20193,6.6680388,2.2366819
000BJT-E,20194,7.6620855,2.7015741
000BJT-E,20201,7.227694,2.4984195
000BJT-E,20202,9.6654663,3.6385074
000BJT-E,20203,9.9940634,3.7921846
000BJT-E,20204,9.8796349,3.7386689
000BJT-E,20211,9.0945311,3.3714948
000BJT-E,20212,9.9940634,3.7921846
000BJT-E,20213,9.9940634,3.7921846
000BJT-E,20214,9.9044514,3.7502751
000BJT-E,20221,8.2876673,2.9941437
000BK7-E,20152,0.5523051,-0.62350088
000BK7-E,20153,0.4150466,-0.68769342
000BK7-E,20154,0.73535788,-0.53789151
000BK7-E,20161,0.75862008,-0.52701229
000BK7-E,20162,1.2300038,-0.30655736
000BK7-E,20163,1.7113674,-0.081435107
000BK7-E,20164,3.1903152,0.6102336
000BK7-E,20171,4.1519766,1.0599797
000BK7-E,20172,3.4996588,0.75490618
000BK7-E,20173,3.366267,0.69252199
000BK7-E,20174,2.7922664,0.4240756
000BK7-E,20181,2.5883002,0.32868549
000BK7-E,20182,3.541425,0.77443922
000BK7-E,20183,6.9274921,2.3580222
000BK7-E,20184,4.0493979,1.012006
000BK7-E,20191,5.5975475,1.7360388
000BK7-E,20192,6.4383016,2.1292393
000BK7-E,20193,5.99086,1.9199816
000BK7-E,20194,8.6622705,3.1693368
000BK7-E,20201,9.0808945,3.3651171
000BK7-E,20202,9.3599157,3.4956088
000BK7-E,20203,9.9940634,3.7921846
000BK7-E,20204,9.9940634,3.7921846
000BK7-E,20211,9.4900665,3.5564771
000BK7-E,20212,9.9940634,3.7921846
000BK7-E,20213,9.9940634,3.7921846
000BK7-E,20214,9.9940634,3.7921846
000BK7-E,20221,2.6473596,0.35630617
000BMH-E,20152,0.23349518,-0.77260071
000BMH-E,20153,0.21315609,-0.78211284
000BMH-E,20154,0.21615517,-0.78071022
000BMH-E,20161,0.20708315,-0.784953
000BMH-E,20162,0.21143855,-0.78291607
000BMH-E,20163,0.20427459,-0.78626651
000BMH-E,20164,0.21879509,-0.77947557
000BMH-E,20171,0.21752009,-0.78007191
000BMH-E,20172,0.22768593,-0.77531755
000BMH-E,20173,0.23638293,-0.77125019
000BMH-E,20174,0.25150436,-0.76417828
000BMH-E,20181,0.23217785,-0.77321678
000BMH-E,20182,0.23456304,-0.77210128
000BMH-E,20183,0.26199868,-0.75927031
000BMH-E,20184,0.24702568,-0.76627284
000BMH-E,20191,0.2570205,-0.76159847
000BMH-E,20192,0.26987559,-0.75558645
000BMH-E,20193,0.25131446,-0.76426709
000BMH-E,20194,0.25417334,-0.76293004
000BMH-E,20201,0.16316952,-0.80549037
000BMH-E,20202,0.16457002,-0.80483538
000BMH-E,20203,0.1610038,-0.80650324
000BMH-E,20204,0.18922101,-0.79330671
000BMH-E,20211,0.22250913,-0.77773863
000BMH-E,20212,0.22583747,-0.77618206
000BMH-E,20213,0.21772355,-0.77997673
000BMH-E,20214,0.24424048,-0.76757538
000BMH-E,20221,0.28310046,-0.74940151
000BMJ-E,20152,0.6692543,-0.56880653
000BMJ-E,20153,0.57462949,-0.61306036
000BMJ-E,20154,0.59740245,-0.60240996
000BMJ-E,20161,0.58746344,-0.60705817
000BMJ-E,20162,0.55400032,-0.62270808
000BMJ-E,20163,0.53047943,-0.63370824
000BMJ-E,20164,0.64790225,-0.57879239
000BMJ-E,20171,0.64675635,-0.5793283
000BMJ-E,20172,0.6963706,-0.55612493
000BMJ-E,20173,0.7178027,-0.54610163
000BMJ-E,20174,0.71279782,-0.5484423
000BMJ-E,20181,0.61038643,-0.59633768
000BMJ-E,20182,0.60189384,-0.60030943
000BMJ-E,20183,0.60749865,-0.5976882
000BMJ-E,20184,0.57144648,-0.61454892
000BMJ-E,20191,0.65031898,-0.57766217
000BMJ-E,20192,0.70780051,-0.5507794
000BMJ-E,20193,0.71435148,-0.54771566
000BMJ-E,20194,0.75184619,-0.53018028
000BMJ-E,20201,0.46021858,-0.66656756
000BMJ-E,20202,0.53383476,-0.63213903
000BMJ-E,20203,0.7005477,-0.55417138
000BMJ-E,20204,0.90795022,-0.45717415
000BMJ-E,20211,1.301187,-0.27326667
000BMJ-E,20212,1.1084274,-0.36341575
000BMJ-E,20213,1.0330038,-0.39868957
000BMJ-E,20214,0.94556373,-0.43958321
000BMJ-E,20221,1.1021411,-0.36635569
000BN8-E,20152,1.6779478,-0.097064659
000BN8-E,20153,1.5520731,-0.15593323
000BN8-E,20154,1.6174332,-0.12536588
000BN8-E,20161,1.7997621,-0.040094979
000BN8-E,20162,1.8257313,-0.027949829
000BN8-E,20163,1.9057058,0.009452354
000BN8-E,20164,1.7345098,-0.070611931
000BN8-E,20171,1.8449099,-0.018980442
000BN8-E,20172,1.7428321,-0.066719815
000BN8-E,20173,1.8460783,-0.018434022
000BN8-E,20174,1.944178,0.027444875
000BN8-E,20181,1.9121478,0.012465102
000BN8-E,20182,1.8440303,-0.019391831
000BN8-E,20183,1.9071888,0.010145901
000BN8-E,20184,1.8322186,-0.02491584
000BN8-E,20191,2.1910338,0.14289348
